names,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Alexander Dillon,male,group D,associate's degree,standard,none,80.0,75.0,77.0
Veda Turner,female,group B,associate's degree,free/reduced,none,124.0,,
Lisa Thrash,female,group D,some college,standard,completed,131.0,97.0,124.0
Elbert Anderson,male,group C,some college,standard,none,,,142.0
Shanna Braswell,female,group D,bachelor's degree,free/reduced,completed,93.0,100.0,100.0
Bonnie Ramos,female,group B,high school,standard,completed,69.0,76.0,74.0
Connie Shinn,female,group B,associate's degree,free/reduced,none,46.0,61.0,55.0
Daniel Cartwright,male,group C,high school,standard,completed,86.0,81.0,80.0
Betty Buntin,female,group A,bachelor's degree,standard,none,59.0,72.0,70.0
Francis Seibold,male,group B,some high school,standard,completed,84.0,83.0,75.0
Arthur Byer,male,group D,high school,free/reduced,completed,64.0,64.0,67.0
Willie Neff,female,group E,associate's degree,free/reduced,none,73.0,76.0,78.0
Thelma Yeates,female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0
Elizabeth Quintero,female,group B,some college,standard,none,131.0,124.0,124.0
Mary Piotrowski,female,group E,some college,free/reduced,completed,75.0,88.0,85.0
Hazel Montoya,female,group D,some college,standard,none,69.0,74.0,74.0
James Eury,male,group E,some college,standard,none,68.0,72.0,65.0
Elijah Horton,male,group E,associate's degree,standard,completed,193.0,142.0,124.0
Larry Dunn,male,group C,some high school,standard,none,57.0,61.0,54.0
David Dunham,male,group A,bachelor's degree,standard,none,66.0,64.0,62.0
Jeffery Wiedmann,male,group C,some college,standard,none,61.0,61.0,62.0
Lisa Watters,female,group D,master's degree,free/reduced,none,40.0,59.0,54.0
Katharine Kellum,female,group B,high school,free/reduced,none,50.0,67.0,63.0
Marjorie Brown,female,group B,high school,standard,none,48.0,62.0,60.0
Rodger Talavera,male,group B,high school,free/reduced,none,36.0,29.0,27.0
Mary Jackson,female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0
Tanya Freeman,female,group C,associate's degree,free/reduced,none,196.0,142.0,142.0
Rebecca Dalton,female,group B,some high school,standard,none,57.0,67.0,72.0
Robert Cupp,male,group B,some college,standard,completed,122.0,124.0,193.0
Cynthia Weir,female,group D,some high school,standard,none,196.0,,193.0
David Fisk,male,group D,bachelor's degree,standard,none,69.0,58.0,57.0
Aubrey Thompson,male,group A,some college,standard,none,124.0,142.0,124.0
Morris Johnson,male,group A,associate's degree,free/reduced,completed,40.0,55.0,53.0
Rodrick Rasch,male,group E,some high school,standard,none,92.0,87.0,78.0
Carolyn Greer,female,group D,some college,standard,none,188.0,193.0,142.0
Anthony Malcomb,male,group C,some college,free/reduced,none,35.0,28.0,27.0
Joyce Amos,female,group C,associate's degree,standard,none,63.0,67.0,70.0
Ken Kopp,male,group D,some college,standard,completed,193.0,128.0,188.0
Donald Chestnut,male,group C,some college,standard,none,73.0,74.0,61.0
Lynne Rodgers,female,group D,some college,standard,none,63.0,64.0,67.0
Diane Preister,female,group D,some college,free/reduced,completed,52.0,59.0,65.0
Charles Kong,male,group C,associate's degree,standard,completed,131.0,142.0,193.0
Brenda Kitchin,female,group B,some high school,standard,none,73.0,79.0,79.0
Susan Palmo,female,group C,some college,free/reduced,completed,63.0,73.0,71.0
Luis Gutierrez,male,group C,high school,free/reduced,completed,124.0,196.0,196.0
Edward Hohn,male,group C,high school,standard,none,71.0,60.0,61.0
Donita Hill,female,group A,bachelor's degree,standard,none,45.0,59.0,64.0
Natalie Turney,female,group E,associate's degree,standard,none,85.0,92.0,85.0
Joe Burks,male,group E,high school,standard,none,80.0,76.0,65.0
Andrea Mcdavid,female,group C,associate's degree,standard,none,40.0,196.0,196.0
Elizabeth Quintero,female,group B,some college,standard,none,82.0,85.0,87.0
Iva Compton,female,group C,bachelor's degree,standard,completed,188.0,193.0,193.0
Kim Stallard,female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0
Dennis Campbell,male,group C,master's degree,standard,completed,91.0,85.0,85.0
Natalie Weber,female,group C,some college,standard,completed,,193.0,122.0
Robert Frazier,male,group B,associate's degree,free/reduced,none,196.0,142.0,196.0
Alan Mccloud,male,group B,some college,free/reduced,completed,60.0,62.0,60.0
Troy Kittleson,male,group B,high school,free/reduced,none,63.0,48.0,47.0
Ann Pence,female,group B,associate's degree,standard,none,40.0,48.0,50.0
Erik Walker,male,group A,some high school,free/reduced,none,174.0,193.0,182.0
William Austin,male,group C,associate's degree,standard,completed,57.0,54.0,56.0
Shaun Johnson,male,group C,associate's degree,standard,none,58.0,54.0,52.0
Ned Burke,male,group E,some college,standard,none,147.0,193.0,124.0
George Mooney,male,group C,some college,standard,completed,188.0,188.0,142.0
Darryl Ruble,male,group E,associate's degree,standard,completed,97.0,82.0,88.0
Harry Berry,male,group B,associate's degree,standard,completed,81.0,82.0,82.0
Logan Camp,male,group C,associate's degree,free/reduced,none,68.0,65.0,61.0
Margaret Spannaus,female,group C,high school,free/reduced,completed,59.0,71.0,65.0
Joseph Dean,male,group C,bachelor's degree,standard,completed,96.0,90.0,92.0
Leon Shipley,male,group B,some college,standard,completed,87.0,84.0,86.0
Cathy Kuhl,female,group E,high school,free/reduced,completed,57.0,75.0,73.0
Tammy Patterson,female,group B,high school,standard,none,193.0,193.0,196.0
Kathy Gargiulo,female,group E,associate's degree,free/reduced,none,193.0,142.0,124.0
Gina Hall,female,group D,high school,standard,completed,142.0,193.0,193.0
Sylvester Beveridge,male,group E,some high school,standard,none,94.0,88.0,78.0
Joseph Sisk,male,group C,associate's degree,standard,none,97.0,93.0,91.0
Ralph Meehan,male,group D,some college,standard,completed,124.0,142.0,124.0
Debra Fannin,female,group B,bachelor's degree,standard,completed,65.0,81.0,81.0
Susan Cook,female,group C,associate's degree,free/reduced,completed,82.0,93.0,93.0
Andrew Duran,male,group D,some college,standard,none,72.0,57.0,58.0
Tina Spillman,female,group C,associate's degree,standard,none,62.0,74.0,70.0
John Salter,male,group D,some college,standard,none,44.0,54.0,53.0
Sheila Friel,female,group D,some college,free/reduced,none,49.0,193.0,142.0
Dolores Reddy,female,group D,bachelor's degree,standard,none,196.0,,
Francisco Johnson,male,group B,associate's degree,standard,completed,82.0,84.0,78.0
Audrey Vargas,female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0
Mary Wilson,female,group E,master's degree,standard,none,193.0,193.0,193.0
Brian Green,male,group C,some college,standard,none,59.0,41.0,42.0
Rodney Guerrera,male,group D,bachelor's degree,standard,none,75.0,73.0,74.0
Floyd Annino,male,group B,some high school,standard,none,72.0,68.0,67.0
Vickie Sellers,female,group D,some college,standard,completed,68.0,78.0,77.0
Margaret Yarbrough,female,group E,high school,standard,none,193.0,193.0,
Milton Davidson,male,group C,associate's degree,free/reduced,completed,124.0,,193.0
Estelle Jackson,female,group E,high school,free/reduced,completed,66.0,74.0,78.0
Royce Siu,male,group C,associate's degree,standard,completed,196.0,124.0,142.0
Chad Johnson,male,group D,high school,free/reduced,completed,,193.0,
Sergio Littlejohn,male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0
Norman Arnold,male,group E,some college,free/reduced,none,93.0,90.0,83.0
Bruce Tang,male,group C,bachelor's degree,standard,none,69.0,63.0,61.0
Nancy Ramos,female,group A,some college,standard,completed,142.0,124.0,196.0
Heather Cunningham,female,group C,some college,standard,none,63.0,74.0,74.0
Tamara Mckinney,female,group C,some college,free/reduced,none,46.0,64.0,66.0
David Okeeffe,male,group A,some high school,standard,completed,66.0,68.0,64.0
Brian Geraldo,male,group D,bachelor's degree,free/reduced,completed,193.0,124.0,193.0
Odette Carter,female,group C,some high school,standard,none,49.0,,142.0
Martha Johnson,female,group E,some college,standard,none,62.0,73.0,70.0
Carla Mendoza,female,group D,associate's degree,free/reduced,none,182.0,142.0,193.0
Kathy Castro,female,group C,some high school,free/reduced,none,48.0,56.0,51.0
Joanna West,female,group D,master's degree,free/reduced,completed,,193.0,142.0
Ayana Childs,female,group E,bachelor's degree,standard,completed,71.0,70.0,70.0
Catherine Grenier,female,group A,master's degree,standard,none,193.0,124.0,193.0
Courtney Sweeden,female,group C,some college,standard,none,147.0,124.0,196.0
John Schoolfield,male,group C,high school,standard,none,193.0,142.0,124.0
Robert Miranda,male,group C,high school,free/reduced,none,54.0,72.0,59.0
Katrina Wilcox,female,group E,bachelor's degree,standard,none,80.0,83.0,83.0
Robert Wallace,male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54.0
Carolyn Smartt,female,group B,associate's degree,standard,completed,193.0,,
John Echols,male,group D,associate's degree,standard,none,90.0,87.0,85.0
Ana Loredo,female,group E,master's degree,standard,completed,94.0,99.0,100.0
Bobby Labounty,male,group B,associate's degree,standard,none,81.0,73.0,72.0
Dana Kramer,female,group C,high school,free/reduced,none,34.0,42.0,151.0
Rose Aiken,female,group B,associate's degree,standard,none,193.0,,124.0
Carl Caruthers,male,group A,some college,standard,none,53.0,43.0,43.0
Jeff Carlson,male,group C,some college,standard,none,124.0,64.0,193.0
Lessie Thompson,female,group A,high school,standard,none,61.0,68.0,63.0
Pamela Cannady,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0
Stacy Wickman,female,group E,high school,standard,none,74.0,81.0,71.0
Matthew Harris,male,group A,bachelor's degree,free/reduced,none,62.0,72.0,65.0
Melissa Flores,female,group D,some college,free/reduced,completed,70.0,78.0,78.0
Michelle Gonzales,female,group B,some high school,standard,completed,60.0,70.0,74.0
Scott Mercer,male,group E,some college,standard,none,59.0,51.0,43.0
Michael Tso,male,group D,some high school,free/reduced,completed,193.0,188.0,188.0
Ethel Kirby,female,group D,bachelor's degree,free/reduced,none,62.0,72.0,74.0
Karen Ogburn,female,group A,high school,free/reduced,completed,53.0,50.0,60.0
Marilyn Provino,female,group E,some high school,standard,completed,80.0,85.0,85.0
Jose Hines,male,group D,some high school,standard,none,69.0,66.0,61.0
Ma Smith,female,group C,some college,standard,none,69.0,78.0,76.0
Audrey Mcdonald,female,group D,some college,standard,none,69.0,77.0,77.0
Paul Sherrill,male,group B,high school,free/reduced,none,49.0,45.0,45.0
Carla Mendoza,female,group D,associate's degree,free/reduced,none,43.0,60.0,58.0
Judith Foster,female,group C,bachelor's degree,standard,none,83.0,93.0,95.0
Janice Wells,female,group D,high school,free/reduced,completed,65.0,61.0,71.0
Anthony Murphy,male,group E,high school,standard,none,73.0,64.0,57.0
Denise Chavez,female,group B,high school,standard,completed,68.0,83.0,78.0
Dan Atchley,male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0
Darlene Parker,female,group C,associate's degree,standard,none,54.0,61.0,58.0
Carmen Tenery,female,group C,associate's degree,free/reduced,none,65.0,77.0,74.0
Cynthia Sisk,female,group D,some college,standard,none,193.0,171.0,193.0
Richard Harden,male,group D,some college,free/reduced,none,49.0,57.0,46.0
Patricia Hearn,female,group D,some college,free/reduced,none,58.0,67.0,62.0
Audrey Darby,female,group D,some high school,standard,completed,66.0,78.0,78.0
Vivian Elliott,female,group A,associate's degree,standard,completed,65.0,70.0,74.0
Joanna Gardner,female,group C,bachelor's degree,standard,none,65.0,79.0,81.0
Jenny Burton,female,group C,some college,free/reduced,none,193.0,142.0,193.0
Alan Roll,male,group E,bachelor's degree,free/reduced,completed,70.0,68.0,72.0
Lisa Forry,female,group E,bachelor's degree,standard,completed,79.0,81.0,82.0
Jacqueline Mcneill,female,group A,master's degree,free/reduced,none,50.0,67.0,73.0
Beverly Kallin,female,group B,associate's degree,standard,none,193.0,193.0,128.0
Eric Acosta,male,group C,master's degree,free/reduced,none,188.0,142.0,124.0
Russell Newlin,male,group D,high school,standard,none,64.0,54.0,50.0
Betty Byrd,female,group B,associate's degree,free/reduced,none,124.0,124.0,124.0
Matthew Aucoin,male,group E,some college,standard,none,68.0,60.0,59.0
Alicia Ratliff,female,group B,some high school,standard,completed,32.0,51.0,44.0
Jason Throneberry,male,group E,some high school,standard,completed,68.0,51.0,57.0
Eric Mitchell,male,group C,some college,free/reduced,none,58.0,57.0,54.0
Patricia Briney,female,group B,some college,standard,none,19.0,38.0,32.0
Oliver Seldon,male,group B,high school,standard,completed,193.0,193.0,142.0
Christine Everhart,female,group D,high school,standard,none,69.0,77.0,73.0
Daniel Adams,male,group D,associate's degree,standard,none,72.0,79.0,74.0
Carmen Tyson,female,group E,some college,free/reduced,none,53.0,58.0,57.0
Linda Lamp,female,group C,some high school,free/reduced,completed,64.0,188.0,193.0
John Johnson,male,group A,some college,standard,completed,61.0,51.0,52.0
Curt Ruiz,male,group C,some high school,standard,completed,78.0,72.0,69.0
Amy Cook,female,group C,associate's degree,standard,none,53.0,62.0,53.0
Chanelle Mauricio,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0
Chris Chauncey,male,group D,high school,free/reduced,none,44.0,51.0,48.0
Larry Dunn,male,group C,some high school,standard,none,196.0,193.0,124.0
Arlene Calhoun,female,group C,some college,standard,none,83.0,83.0,90.0
Therese Dobbins,female,group C,some high school,free/reduced,completed,65.0,76.0,75.0
Alfred Penn,male,group D,bachelor's degree,standard,none,88.0,78.0,83.0
Kelly Summers,female,group C,some college,standard,completed,88.0,95.0,94.0
Earl Rodriguez,male,group B,associate's degree,standard,completed,91.0,89.0,92.0
Ulrike Davidson,female,group C,some college,standard,none,84.0,87.0,91.0
Autumn Miller,female,group D,high school,standard,none,51.0,66.0,62.0
Donita Hill,female,group A,bachelor's degree,standard,none,196.0,196.0,64.0
Miranda Domingo,female,group D,some college,standard,none,196.0,193.0,124.0
Robert Ellis,male,group A,associate's degree,standard,none,,193.0,193.0
Julie Watkins,female,group E,some high school,free/reduced,none,38.0,49.0,45.0
Rafael Preuss,male,group B,some college,free/reduced,completed,193.0,193.0,193.0
Marie Mcgovern,female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0
Mark Lewis,male,group E,some college,standard,none,66.0,57.0,52.0
Ana Rodriguez,female,group C,high school,standard,none,61.0,73.0,63.0
Duane Baisley,male,group B,high school,standard,none,60.0,68.0,60.0
Mable Collins,female,group D,associate's degree,standard,none,71.0,71.0,74.0
Concepcion Burkett,female,group D,high school,standard,none,45.0,63.0,59.0
Kari Mitchell,female,group D,some college,free/reduced,none,77.0,86.0,86.0
David Davis,male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55.0
Doreen Mayo,female,group C,some high school,standard,none,193.0,142.0,131.0
Rodrick Rasch,male,group E,some high school,standard,none,193.0,124.0,142.0
Harry Murphy,male,group A,high school,standard,none,57.0,51.0,54.0
Richard Garr,male,group C,some college,standard,none,124.0,151.0,193.0
Arden Cutler,male,group A,some high school,free/reduced,completed,193.0,193.0,193.0
Thomas Simmons,male,group C,bachelor's degree,standard,completed,131.0,171.0,196.0
Carolina White,female,group C,high school,standard,none,193.0,193.0,193.0
Casey Brenneman,male,group E,associate's degree,standard,none,72.0,64.0,63.0
Donald Griffin,male,group D,some college,standard,none,76.0,71.0,73.0
Michael Reel,male,group D,high school,standard,none,45.0,48.0,46.0
Gary Ely,male,group D,master's degree,standard,none,193.0,193.0,156.0
Cheryl Leonard,female,group E,high school,standard,none,99.0,93.0,90.0
Judith Lindsay,female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79.0
Anthony Casey,male,group A,bachelor's degree,standard,none,64.0,60.0,58.0
Michele Montgomery,female,group C,bachelor's degree,standard,completed,52.0,61.0,66.0
James Deluca,male,group D,bachelor's degree,standard,none,80.0,73.0,72.0
Gary Spencer,male,group B,some high school,standard,completed,51.0,54.0,41.0
Kendra Riekena,female,group C,some college,free/reduced,none,193.0,128.0,122.0
David Rutan,male,group E,some college,standard,none,193.0,142.0,142.0
Frank Shaffer,male,group A,bachelor's degree,standard,none,196.0,124.0,193.0
Michael Mederos,male,group C,high school,standard,none,50.0,48.0,42.0
Thelma Kabat,female,group E,bachelor's degree,standard,none,64.0,73.0,70.0
Maxine Walton,female,group E,some high school,free/reduced,none,74.0,74.0,72.0
Jean Phillips,female,group C,associate's degree,standard,none,196.0,95.0,131.0
Rosalind Knauer,female,group C,associate's degree,standard,completed,71.0,77.0,77.0
Tanya Favela,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0
Joseph Guerriero,male,group D,high school,free/reduced,none,69.0,70.0,67.0
Mollie Vasquez,female,group C,some high school,standard,completed,77.0,90.0,85.0
Belinda Smith,female,group C,some college,standard,none,193.0,196.0,
Darrell Xiong,male,group D,high school,free/reduced,none,75.0,74.0,66.0
Eric Erickson,male,group B,some high school,standard,completed,196.0,124.0,142.0
Callie Mork,female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0
Shelby Flores,male,group D,associate's degree,standard,none,80.0,68.0,72.0
Stanley Schroder,male,group C,associate's degree,standard,none,193.0,,193.0
Howard Smith,male,group C,some high school,standard,completed,,142.0,196.0
Connie Banda,female,group C,some college,standard,completed,122.0,166.0,166.0
Virginia Griest,female,group C,high school,standard,none,59.0,72.0,68.0
David Moss,male,group D,some college,standard,completed,85.0,81.0,85.0
Rebecca Souliere,female,group D,associate's degree,free/reduced,none,55.0,76.0,76.0
Ashley Atkinson,female,group C,bachelor's degree,free/reduced,none,44.0,63.0,62.0
Tina Willis,female,group C,high school,free/reduced,none,42.0,62.0,60.0
Shawn Lopez,male,group D,some college,standard,completed,58.0,59.0,58.0
Ivan King,male,group D,some college,free/reduced,none,61.0,47.0,56.0
Caroline Atchison,female,group C,high school,free/reduced,completed,50.0,66.0,64.0
Nancy Mabery,female,group C,associate's degree,standard,none,64.0,64.0,
Joel Reed,male,group D,some high school,standard,completed,88.0,74.0,75.0
David Lafave,male,group C,associate's degree,standard,completed,73.0,78.0,72.0
Tammi Aline,female,group E,associate's degree,standard,completed,95.0,193.0,193.0
Agnes Turley,female,group C,bachelor's degree,standard,completed,124.0,196.0,196.0
William Gardiner,male,group E,high school,free/reduced,none,174.0,142.0,196.0
Audrey Love,female,group B,bachelor's degree,standard,none,67.0,86.0,83.0
Emma Brasher,female,group D,some high school,standard,completed,97.0,100.0,100.0
Michael Young,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0
Georgia Collins,female,group B,some high school,standard,none,62.0,64.0,66.0
Eric Acosta,male,group C,master's degree,free/reduced,none,79.0,81.0,71.0
Denise Potts,female,group A,some college,standard,none,54.0,63.0,67.0
Donna Cortez,female,group C,high school,standard,none,66.0,71.0,76.0
Judy Helmer,female,group D,bachelor's degree,standard,completed,193.0,142.0,142.0
Leatha Lind,female,group C,some high school,free/reduced,none,174.0,124.0,193.0
Ana Rodriguez,female,group C,high school,standard,none,193.0,,
Kathryn Neville,female,group C,some college,standard,none,174.0,124.0,124.0
Barbar Gonzalez,female,group D,master's degree,standard,none,78.0,91.0,96.0
Alice Propps,female,group C,bachelor's degree,standard,completed,193.0,196.0,188.0
Andrew Bledsoe,male,group E,some college,standard,completed,85.0,75.0,68.0
James Cambron,male,group D,some high school,standard,none,84.0,84.0,80.0
Marybeth Mazzone,female,group B,associate's degree,free/reduced,completed,76.0,94.0,87.0
Mary Nelson,female,group C,high school,standard,none,44.0,61.0,52.0
Joel Reed,male,group D,some high school,standard,completed,122.0,193.0,142.0
Lucille Stanphill,female,group C,high school,standard,none,81.0,84.0,82.0
Jim Burkhart,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0
Maria Holscher,female,group B,associate's degree,standard,none,58.0,63.0,65.0
Jerri Ball,female,group C,associate's degree,standard,none,124.0,193.0,124.0
Steven Kelly,male,group D,some college,standard,none,81.0,82.0,84.0
Jean Tiscareno,female,group D,some high school,free/reduced,completed,35.0,174.0,142.0
Eileen Parra,female,group B,some high school,free/reduced,none,72.0,81.0,79.0
Charles Smith,male,group D,some college,standard,none,71.0,49.0,52.0
William Saska,male,group B,associate's degree,standard,none,61.0,42.0,41.0
Anna Lauterbach,female,group C,associate's degree,standard,none,66.0,77.0,73.0
Ruth Bolduc,female,group D,bachelor's degree,standard,completed,71.0,76.0,83.0
David Osteen,male,group C,high school,standard,none,71.0,66.0,65.0
Edward Lee,male,group D,some high school,standard,completed,89.0,88.0,82.0
Rosemary Pratt,female,group B,associate's degree,standard,none,73.0,83.0,76.0
Arthur William,male,group E,associate's degree,standard,completed,81.0,81.0,79.0
Gerald Brunner,male,group D,high school,standard,none,46.0,34.0,36.0
Barbara Henriques,female,group C,some college,free/reduced,none,22.0,39.0,33.0
Johnny Lei,male,group A,associate's degree,standard,none,124.0,124.0,
John Moreno,male,group B,some high school,free/reduced,none,48.0,52.0,45.0
Leon Shipley,male,group B,some college,standard,completed,124.0,147.0,193.0
Leona Cohen,female,group A,some high school,free/reduced,none,44.0,64.0,58.0
Frankie Malan,male,group D,associate's degree,free/reduced,completed,79.0,82.0,80.0
Benjamin Finch,male,group C,bachelor's degree,standard,completed,91.0,81.0,79.0
John Greenway,male,group C,some high school,standard,completed,76.0,80.0,73.0
Karen Ogburn,female,group A,high school,free/reduced,completed,124.0,193.0,142.0
Nancy Bassett,female,group C,high school,standard,none,54.0,59.0,62.0
Thomas Schweitzer,male,group D,associate's degree,free/reduced,none,77.0,78.0,73.0
Allison Tankersley,female,group C,some college,free/reduced,none,62.0,72.0,70.0
Solomon Washington,male,group B,some high school,standard,none,67.0,64.0,61.0
Ana Loredo,female,group E,master's degree,standard,completed,131.0,188.0,196.0
Kristen Drayton,female,group E,bachelor's degree,standard,none,196.0,196.0,196.0
Robert Taylor,male,group E,high school,free/reduced,completed,86.0,81.0,75.0
Pamela Tanguay,female,group B,high school,standard,completed,58.0,70.0,68.0
Adam Romero,male,group C,high school,standard,completed,53.0,52.0,49.0
Sarah Mcbride,female,group D,high school,standard,completed,57.0,58.0,64.0
Martha Sova,female,group C,some high school,free/reduced,none,182.0,124.0,124.0
Denise Harstad,female,group C,some high school,standard,none,69.0,73.0,73.0
Stanley Schroder,male,group C,associate's degree,standard,none,76.0,70.0,68.0
Nancy Ramos,female,group A,some college,standard,completed,78.0,87.0,91.0
Jeff Carlson,male,group C,some college,standard,none,69.0,64.0,68.0
Clara Clark,female,group B,bachelor's degree,standard,completed,124.0,142.0,142.0
Frank Moran,male,group B,some college,standard,completed,62.0,66.0,68.0
Florencia Morrison,female,group A,associate's degree,free/reduced,none,37.0,57.0,56.0
Phillip Marin,male,group C,some high school,standard,none,196.0,193.0,193.0
Charles Johnson,male,group C,high school,standard,none,88.0,89.0,86.0
Mark Wilson,male,group C,high school,standard,none,90.0,75.0,69.0
Robert Frazier,male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0
Jeremy Smith,male,group D,some high school,standard,completed,193.0,124.0,142.0
James Lydon,male,group A,high school,standard,none,68.0,70.0,66.0
Judith Malone,female,group B,some college,free/reduced,completed,65.0,75.0,70.0
Vanessa Welch,female,group C,high school,standard,none,63.0,69.0,74.0
Elizabeth Camacho,female,group D,bachelor's degree,standard,completed,124.0,193.0,128.0
Leona Martinez,female,group D,high school,free/reduced,completed,52.0,57.0,56.0
Kermit Gates,male,group B,associate's degree,standard,none,48.0,43.0,45.0
Lawrence Cormier,male,group B,associate's degree,standard,none,65.0,54.0,57.0
Michael Gaccione,male,group B,some college,free/reduced,none,54.0,54.0,45.0
Catherine Grenier,female,group A,master's degree,standard,none,50.0,53.0,58.0
Mary Ramirez,female,group C,associate's degree,standard,none,124.0,193.0,193.0
Julia Nicole,female,group B,some high school,free/reduced,completed,193.0,142.0,156.0
Carl Gomez,male,group D,some college,standard,none,122.0,193.0,193.0
Andrea Mcdavid,female,group C,associate's degree,standard,none,40.0,59.0,51.0
Paula Barriere,female,group D,bachelor's degree,free/reduced,none,29.0,41.0,47.0
Marina Smith,female,group D,associate's degree,free/reduced,none,26.0,31.0,38.0
Kathryn Dale,female,group B,some college,standard,none,70.0,75.0,78.0
Brian Langston,male,group C,high school,free/reduced,none,196.0,124.0,193.0
Larry Werts,male,group D,some high school,standard,none,75.0,74.0,69.0
Richard Garr,male,group C,some college,standard,none,53.0,39.0,37.0
Amanda Barker,female,group C,some college,free/reduced,completed,64.0,124.0,124.0
Stanley Warren,male,group D,high school,free/reduced,none,60.0,57.0,51.0
Clyde Gay,male,group C,associate's degree,standard,completed,98.0,87.0,90.0
Walter Ortiz,male,group C,some college,standard,completed,93.0,84.0,90.0
Jose Dunagan,male,group B,bachelor's degree,standard,none,59.0,54.0,51.0
Aurelia Spaulding,female,group B,high school,free/reduced,completed,46.0,54.0,58.0
Kimberlee Dupuis,female,group E,high school,free/reduced,completed,,193.0,142.0
Ray Juul,male,group D,some college,standard,none,76.0,64.0,66.0
Sherri Turner,female,group E,associate's degree,standard,completed,79.0,88.0,94.0
John Gunter,male,group A,some college,free/reduced,none,28.0,23.0,19.0
Lorene Hall,female,group D,some college,free/reduced,none,55.0,71.0,69.0
Victor Kinkead,male,group C,some high school,free/reduced,none,61.0,57.0,56.0
Howard Jimenez,male,group E,some high school,standard,completed,142.0,142.0,193.0
Richard Benitez,male,group B,some college,free/reduced,completed,196.0,124.0,
Geneva Arnold,female,group E,some college,standard,none,193.0,64.0,193.0
Georgia Fisher,female,group B,high school,standard,none,193.0,124.0,174.0
Sara Ray,female,group C,high school,free/reduced,none,35.0,53.0,46.0
Edna Johnson,female,group E,some college,standard,completed,193.0,124.0,196.0
Ronald Mason,male,group E,associate's degree,standard,completed,94.0,85.0,82.0
Maxine Gulbranson,female,group D,some high school,free/reduced,none,193.0,124.0,124.0
Dawn Cummings,female,group C,associate's degree,standard,none,46.0,58.0,57.0
Elizabeth Beasley,female,group E,bachelor's degree,standard,none,100.0,100.0,100.0
